公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002419,天虹商场,天虹商场股份有限公司,"RAINBOW DEPARTMENT STORE CO.,LTD.",广东省深圳市福田区福中一路1016号地铁大厦20-24楼,2419,天虹商场
002420,毅昌股份,广州毅昌科技股份有限公司,"GUANGZHOU ECHOM SCIENCE&TECHNOLOGY CO.,LTD.",广东省广州市高新技术产业开发区科学城科丰路29号,2420,毅昌股份
002421,达实智能,深圳达实智能股份有限公司,"SHENZHEN DAS INTELLITECH CO., LTD.",广东省深圳市南山区高新技术村W1栋A座5楼,2421,达实智能
002422,科伦药业,四川科伦药业股份有限公司,"SICHUAN KELUN PHARMACEUTICAL CO., LTD.",四川省成都市新都卫星城工业开发区南二路,2422,科伦药业
002423,中原特钢,中原特钢股份有限公司,"ZHONGYUAN SPECIAL STEEL CO.,LTD.",河南省济源市承留镇小寨村,2423,中原特钢
002424,贵州百灵,贵州百灵企业集团制药股份有限公司,"Guizhou Bailing Group Pharmaceutical Co., Ltd.",贵州省安顺市经济技术开发区西航大道,2424,贵州百灵
002425,凯撒股份,凯撒（中国）股份有限公司,"Kaiser (China) Holding Co.,LTD",广东省汕头市龙湖珠津工业区珠津一街3号凯撒工业城,2425,凯撒股份
002426,胜利精密,苏州胜利精密制造科技股份有限公司,"Suzhou Victory Precision Manufacture Co.,Ltd.",江苏省苏州市高新区浒关工业园浒泾路55号,2426,胜利精密
002427,尤夫股份,浙江尤夫高新纤维股份有限公司,"Zhejiang Unifull Industrial Fiber Co.,Ltd.",浙江省湖州市和孚镇工业园区,2427,尤夫股份
002428,云南锗业,云南临沧鑫圆锗业股份有限公司,"Yunnan Lincang Xinyuan Germanium Industry Co.,LTD",云南省临沧市临翔区忙畔街道办事处忙畔社区喜鹊窝组168号,2428,云南锗业
002429,兆驰股份,深圳市兆驰股份有限公司,"Shenzhen MTC Co.,LTD.",广东省深圳市宝安区福永街道塘尾鹏洲工业区A栋,2429,兆驰股份
002430,杭氧股份,杭州杭氧股份有限公司,"HANGZHOU HANGYANG CO.,LTD.",浙江省临安市青山湖街道东环路99号,2430,杭氧股份
